datum_do,temperature,relativehumidity,dewpoint,surface_pressure,cloudcover,windspeed,winddirection
2023-02-15 00:00,1.6,90.0,0.1,1006.5,42.0,4.0,63.0
2023-02-15 01:00,1.4,91.0,0.1,1006.2,25.0,3.3,229.0
2023-02-15 02:00,1.3,91.0,0.0,1005.8,26.0,4.1,255.0
2023-02-15 03:00,0.9,93.0,-0.2,1005.3,17.0,4.7,261.0
2023-02-15 04:00,0.0,94.0,-0.8,1004.7,20.0,4.0,270.0
2023-02-15 05:00,-0.8,95.0,-1.5,1004.7,20.0,4.3,270.0
2023-02-15 06:00,-1.5,96.0,-2.1,1004.4,16.0,4.3,265.0
2023-02-15 07:00,-2.1,97.0,-2.6,1004.5,17.0,4.6,252.0
2023-02-15 08:00,-0.8,95.0,-1.5,1004.8,16.0,2.9,240.0
2023-02-15 09:00,1.3,91.0,-0.1,1004.8,65.0,2.3,198.0
2023-02-15 10:00,3.6,81.0,0.7,1004.8,8.0,2.9,173.0
2023-02-15 11:00,5.4,75.0,1.3,1004.9,73.0,2.9,210.0
2023-02-15 12:00,6.7,70.0,1.7,1004.1,41.0,3.1,201.0
2023-02-15 13:00,7.8,67.0,2.1,1003.4,0.0,4.7,176.0
2023-02-15 14:00,8.3,65.0,2.2,1002.7,2.0,6.2,170.0
2023-02-15 15:00,8.4,65.0,2.3,1002.1,2.0,6.8,155.0
2023-02-15 16:00,7.8,70.0,2.6,1001.7,0.0,6.7,144.0
2023-02-15 17:00,6.1,77.0,2.4,1001.3,0.0,5.9,128.0
2023-02-15 18:00,4.0,84.0,1.5,1001.2,0.0,6.1,135.0
2023-02-15 19:00,2.0,89.0,0.4,1001.1,0.0,6.3,149.0
2023-02-15 20:00,1.0,89.0,-0.5,1001.2,0.0,7.1,165.0
2023-02-15 21:00,0.3,90.0,-1.1,1000.8,0.0,7.6,183.0
2023-02-15 22:00,-0.4,92.0,-1.6,1000.6,0.0,8.1,201.0
2023-02-15 23:00,-1.1,93.0,-2.1,1000.5,0.0,6.6,248.0
2023-02-16 00:00,-1.4,94.0,-2.3,1000.8,0.0,4.6,288.0
2023-02-16 01:00,-1.5,94.0,-2.3,1000.6,0.0,2.0,315.0
2023-02-16 02:00,-1.4,94.0,-2.3,1000.3,0.0,1.3,56.0
2023-02-16 03:00,-1.5,93.0,-2.4,999.8,0.0,2.5,278.0
2023-02-16 04:00,-1.4,93.0,-2.4,999.5,0.0,1.9,292.0
2023-02-16 05:00,-1.6,92.0,-2.7,999.5,0.0,1.8,323.0
2023-02-16 06:00,-2.0,92.0,-3.1,999.2,0.0,1.5,315.0
2023-02-16 07:00,-2.4,92.0,-3.6,999.2,0.0,2.5,315.0
2023-02-16 08:00,-2.6,92.0,-3.7,999.6,0.0,4.0,297.0
2023-02-16 09:00,1.5,80.0,-1.5,999.9,0.0,2.2,270.0
2023-02-16 10:00,5.3,64.0,-0.9,1000.0,4.0,1.3,236.0
2023-02-16 11:00,7.6,57.0,-0.3,1000.2,13.0,0.8,207.0
2023-02-16 12:00,9.3,52.0,-0.1,1000.1,17.0,0.7,180.0
2023-02-16 13:00,10.5,49.0,0.1,999.5,23.0,2.4,153.0
2023-02-16 14:00,11.0,49.0,0.5,998.6,20.0,3.7,151.0
2023-02-16 15:00,10.7,54.0,1.7,998.3,14.0,5.0,150.0
2023-02-16 16:00,9.5,61.0,2.4,997.9,13.0,5.1,135.0
2023-02-16 17:00,7.4,71.0,2.4,997.4,22.0,9.2,129.0
2023-02-16 18:00,4.6,80.0,1.5,997.6,23.0,8.4,115.0
2023-02-16 19:00,2.5,86.0,0.4,997.9,16.0,6.3,121.0
2023-02-16 20:00,2.2,85.0,-0.0,997.9,13.0,1.3,34.0
2023-02-16 21:00,0.8,90.0,-0.7,997.9,2.0,3.3,319.0
